P_DAY,RANK_ORDER,TRACK,ARTIST,ISRC,CHART_TYPE,COUNTRY,METRIC_TYPE
2021-12-30,26,I Hate U,SZA,USRC12103605,Top 200,US,most_streamed
2021-12-30,118,Good Days,SZA,,Top 200,US,most_streamed
2021-12-30,181,Pope Is a Rockstar,SALES,,Top 200,US,most_streamed
2021-12-30,56,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,Top 200,US,most_streamed
2023-08-17,74,Cupid - Twin Ver.,FIFTY FIFTY,KSA012239181,Top 200,US,most_streamed
2023-08-17,49,S91,KAROL G,USUG12305255,Top 200,US,most_streamed
2023-08-17,23,MI EX TENÍA RAZÓN,KAROL G,USUG12305253,Top 200,US,most_streamed
2023-08-17,175,OKI DOKI,KAROL G,USUG12305254,Top 200,US,most_streamed
2023-08-17,149,AMARGURA,KAROL G,USUM72222552,Top 200,US,most_streamed
2023-08-17,125,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2023-08-17,118,golden hour,JVKE,GBKPL2204171,Top 200,US,most_streamed
2023-08-17,51,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2023-08-17,19,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2023-08-17,174,Break from Toronto,PARTYNEXTDOOR,USWB11302160,Top 200,US,most_streamed
2023-08-17,125,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2024-08-15,136,You Shook Me All Night Long,AC/DC,AUAP08000047,Top 200,US,most_streamed
2024-08-15,181,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2024-08-15,44,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2024-08-15,67,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2024-08-15,170,Broken Clocks,SZA,USRC11701122,Top 200,US,most_streamed
2024-08-15,138,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2024-08-15,143,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2024-08-15,85,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2024-08-15,188,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2024-08-15,45,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,USJI10000001,Top 200,US,most_streamed
2024-08-15,181,TRUCK BED,HARDY,QZ22S2200079,Top 200,US,most_streamed
2025-09-25,70,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-09-25,68,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-09-25,160,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2025-09-25,70,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)",TWICE,USUG12504881,Top 200,US,most_streamed
2025-09-25,68,Strategy (from the Netflix film KPop Demon Hunters),TWICE,US5TA2400303,Top 200,US,most_streamed
2025-09-25,170,Touch,KATSEYE,USUM72407248,Top 200,US,most_streamed
2025-09-25,38,Gabriela,KATSEYE,USUM72503465,Top 200,US,most_streamed
2025-09-25,99,Gnarly,KATSEYE,USUM72503410,Top 200,US,most_streamed
2025-09-25,117,WHERE IS MY HUSBAND!,RAYE,QMFME2535037,Top 200,US,most_streamed
2022-02-10,33,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,GBUM72106057,Top 200,US,most_streamed
2022-02-10,38,Doja,$NOT,QMCE32200104,Top 200,US,most_streamed
2024-09-12,154,You Shook Me All Night Long,AC/DC,AUAP08000047,Top 200,US,most_streamed
2024-09-12,145,CRAZY,LE SSERAFIM,USA2P2449061,Top 200,US,most_streamed
2024-09-12,164,Good Days,SZA,USRC12004189,Top 200,US,most_streamed
2024-09-12,135,Broken Clocks,SZA,USRC11701122,Top 200,US,most_streamed
2024-09-12,176,Snooze,SZA,USRC12204591,Top 200,US,most_streamed
2024-09-12,82,Kill Bill,SZA,USRC12204584,Top 200,US,most_streamed
2024-09-12,78,Saturn,SZA,USRC12400216,Top 200,US,most_streamed
2024-09-12,48,Si Antes Te Hubiera Conocido,KAROL G,USUG12400968,Top 200,US,most_streamed
2024-09-12,173,Revenge,XXXTENTACION,USUYG1156895,Top 200,US,most_streamed
2024-09-12,106,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,USJI10000001,Top 200,US,most_streamed
